"Name","Country","Actor Type","Established","Last Seen"
"$2a$45","Undetermined","Criminal","","2018-03-09"
"'desserped'","Undetermined","Criminal","","2023-10-11"
"0mega","Undetermined","Criminal","","2023-02-20"
"0x0D1337","Undetermined","Undetermined","","2015-09-30"
"0x2Taylor","Undetermined","Hacktivist","","2016-10-13"
"0x_dump","Undetermined","Criminal","","2022-11-10"
"13-year-old Benjamin Franklin Middle School student","United States of America","Undetermined","","2020-09-18"
"15-year old Merseyside boy","Undetermined","Undetermined","","2020-08-26"
"1x0123","Undetermined","Criminal","","2016-06-15"
"2402team","Undetermined","Hacktivist","","2022-08-25"
"31337","Undetermined","Undetermined","","2017-08-14"
"3xp1r3 Cyber Army","Undetermined","Hacktivist","","2015-02-06"
"8BASE","Undetermined","Criminal","","2023-09-18"
"@0x1Taylor","Undetermined","Undetermined","","2016-03-01"
"@0x55Taylor","Undetermined","Criminal","","2018-01-02"
"@2aiden3","Undetermined","Undetermined","","2016-06-06"
"@aparich95406002","Undetermined","Undetermined","","2020-10-09"
"@Apex_Haxor","Undetermined","Hacktivist","","2015-04-20"
"@ciadotgov","Undetermined","Undetermined","","2016-01-23"
"@Compl3x1ty","Undetermined","Undetermined","","2015-04-24"
"@DadSecurity","Undetermined","Undetermined","","2015-08-19"
"@FkPoliceAnonOps","Undetermined","Hacktivist","","2016-05-31"
"@fs0c131y","Undetermined","Undetermined","","2018-07-28"
"@G3NTbl4ck","Undetermined","Hacktivist","","2014-02-11"
"@gift2death","Undetermined","Undetermined","","2016-03-30"
"@GroundingPlanes; @Guidelines","Undetermined","Undetermined","","2015-02-17"
"@h1v3team","Undetermined","Undetermined","","2014-09-20"
"@headassgang","Undetermined","Hobbyist","","2017-07-26"
"@HTGzSecurity","Undetermined","Undetermined","","2015-10-14"
"@IncursioSubter","Undetermined","Undetermined","","2015-01-25"
"@JM511","Undetermined","Undetermined","","2015-08-08"
"@joshua","Undetermined","Hobbyist","","2018-08-30"
"@kitlol5","Undetermined","Hacktivist","","2018-12-07"
"@Lid","Undetermined","Undetermined","","2016-06-29"
"@n0w1337","Undetermined","Hobbyist","","2015-09-04"
"@NightmareSquad","Undetermined","Hacktivist","","2015-07-25"
"@rmsg0d","Undetermined","Hobbyist","","2015-05-24"
"@Rucyborg","Undetermined","Hacktivist","","2014-03-06"
"@security_511","Undetermined","Hobbyist","","2014-10-27"
"@sw@ylol","Undetermined","Undetermined","","2016-05-30"
"@TehBVM","Undetermined","Undetermined","","2016-05-05"
"@th3inf1d3l","Undetermined","Hacktivist","","2014-02-17"
"@TheFamilyMethod","Undetermined","Undetermined","","2016-03-01"
"@TheNetShip","Undetermined","Undetermined","","2015-06-15"
"@THTHerakles","Turkey","Hacktivist","","2015-04-13"
"@ThySavi0r; @anonf8","Undetermined","Undetermined","","2015-02-24"
"@TorProdigy","Undetermined","Undetermined","","2015-05-22"
"@ulzr1z","Undetermined","Hobbyist","","2015-01-02"
"@yanluowangleaks","Undetermined","Undetermined","","2022-10-31"
"@YourVikingdom2015","Undetermined","Hacktivist","","2015-03-28"
"A hacker(s) claiming to be affiliated with Anonymous","Undetermined","Undetermined","","2017-02-03"
"A. S. A. L. A.","Armenia","Hacktivist","","2015-11-11"
"aabbccddeefg","Undetermined","Criminal","","2018-09-14"
"Abdellah Elmaghribi","United States of America","Hacktivist","","2015-10-15"
"Abdellah Elmaghribi; Moroccan Wolf","Turkmenistan","Hacktivist","","2015-04-09"
"abdilo","Undetermined","Hobbyist","","2015-02-12"
"Absa employee","South Africa","Criminal","","2020-10-27"
"Abyss","Undetermined","Criminal","","2023-04-07"
"Adalat Ali","Iran (Islamic Republic of)","Hacktivist","","2022-02-01"
"ADHD","Italy","Hacktivist","","2023-09-25"
"Adrastea","Undetermined","Undetermined","","2022-08-01"
"af,","Undetermined","Undetermined","","2016-02-15"
"Afzal Faizal","India","Hacktivist","","2016-08-02"
"AgainstTheWest","Undetermined","Hacktivist","","2022-09-03"
"AgainstTheWest"" (ATW)","Undetermined","Hacktivist","","2022-03-04"
"Agrius APT","Iran (Islamic Republic of)","Nation-State","","2022-02-28"
"AhmetU","Undetermined","Undetermined","","2016-02-26"
"Akihirah","Undetermined","Undetermined","","2023-08-14"
"Akincila","Israel","Hacktivist","","2017-11-02"
"Akincilar","Turkey","Hacktivist","","2018-05-07"
"Akira","Undetermined","Criminal","","2023-10-27"
"AKO","Undetermined","Criminal","","2020-05-13"
"Al-Qassam Brigades","Israel","Hacktivist","","2014-07-17"
"al-Tahera","Iran (Islamic Republic of)","Hacktivist","","2022-07-12"
"Al-Toufan, or ""The Flood""","Undetermined","Hacktivist","","2023-02-14"
"aLem!","Undetermined","Undetermined","","2016-07-01"
"Alex Van Handle","Undetermined","Undetermined","","2015-03-17"
"ALF","Undetermined","Undetermined","","2017-10-11"
"AlfabetoVirtual","United States of America","Hacktivist","","2015-07-10"
"Algerian Mujahideen","France","Hacktivist","","2015-03-30"
"Ali El Top","Undetermined","Hobbyist","","2014-09-13"
"Ali's Justice (Edalat-e Ali)","Iran (Islamic Republic of)","Hacktivist","","2023-02-11"
"Alicenorin","Undetermined","Undetermined","","2014-10-11"
"Alpha Team","Undetermined","Criminal","","2023-10-31"
"ALPHV","Russian Federation","Criminal","","2023-10-26"
"ALPHVM","Russian Federation","Criminal","","2023-09-30"
"Alsancak Tim","Ghana","Hacktivist","","2015-01-21"
"AlTahrea","Iraq","Hacktivist","","2022-10-08"
"Altahrea Team","Iran (Islamic Republic of)","Hacktivist","","2022-07-18"
"ALTDOS","Undetermined","Criminal","","2021-09-20"
"Amar^SHG","Mexico","Hacktivist","","2016-05-23"
"Ameer Elashmawy","Undetermined","Undetermined","","2020-10-28"
"Amn3s1a Team","Undetermined","Undetermined","","2016-11-18"
"Amped Attacks AKA sgtbilko420","United States of America","Hacktivist","","2015-10-21"
"Andrew ""Weev"" Auernheimer","Undetermined","Undetermined","","2016-03-28"
"Angel_Of_Truth","Canada","Hacktivist","","2015-04-21"
"AnibaLeaks","Undetermined","Criminal","","2021-09-30"
"Anka Neferler Timi","France","Hacktivist","","2020-12-22"
"AnoaGhost","Undetermined","Undetermined","","2018-04-17"
"AnonCoder","United States of America","Hacktivist","","2015-05-23"
"Anoncoders","Israel","Hacktivist","","2015-10-05"
"AnonGhost","Undetermined","Hacktivist","","2023-10-08"
"AnonOpsIndia","India","Hacktivist","","2015-07-04"
"AnonPlus","Italy","Hacktivist","","2018-11-02"
"Anonsec","Undetermined","Hacktivist","","2016-01-31"
"Anonymous","Undetermined","Hacktivist","","2022-09-23"
"Anonymous (Africa)","Undetermined","Hacktivist","","2016-06-14"
"Anonymous (Arab)","Undetermined","Hacktivist","","2015-04-07"
"Anonymous (Belgium)","Belgium","Hacktivist","","2015-10-14"
"Anonymous (Brazil)","Brazil","Hacktivist","","2020-06-26"
"Anonymous (Catalonia)","Spain","Hacktivist","","2018-08-26"
"Anonymous (Conservative)","Undetermined","Hacktivist","","2016-01-25"
"Anonymous (Corrupt)","Undetermined","Hacktivist","","2016-03-20"
"Anonymous (Czech Republic); Anonymous (Slovakia)","Czechia","Hacktivist","","2016-08-01"
"Anonymous (Denmark)","Denmark","Undetermined","","2014-06-11"
"Anonymous (Ecuador)","Ecuador","Hacktivist","","2014-03-29"
"Anonymous (Globo)","Undetermined","Hacktivist","","2015-04-10"
"Anonymous (Greece)","Greece","Hacktivist","","2020-01-18"
"Anonymous (Iran)","Iran (Islamic Republic of)","Hacktivist","","2020-01-10"
"Anonymous (Italia); Antisec-Italia","Italy","Hacktivist","","2016-08-21"
"Anonymous (Italy)","Italy","Hacktivist","","2019-11-05"
"Anonymous (Kenya)","Kenya","Hacktivist","","2016-04-27"
"Anonymous (Lebanon)","Lebanon","Hacktivist","","2015-10-25"
"Anonymous (Nigeria)","Nigeria","Hacktivist","","2016-01-08"
"Anonymous (Norway)","Norway","Hacktivist","","2014-07-09"
"Anonymous (Pakistan)","Pakistan","Hacktivist","","2014-09-06"
"Anonymous (Philippines)","Philippines","Hacktivist","","2015-01-31"
"Anonymous (Poland)","Poland","Hacktivist","","2016-10-29"
"Anonymous (Portugal)","Portugal","Hacktivist","","2016-03-29"
"Anonymous (Protection)","Undetermined","Hacktivist","","2015-01-29"
"Anonymous (Quebec)","Canada","Hacktivist","","2015-04-12"
"Anonymous (R4BIA TEAM)","Egypt","Hacktivist","","2015-10-24"
"Anonymous (Rabaa Team)","Egypt","Hacktivist","","2015-12-25"
"Anonymous (Romania)","Romania","Hacktivist","","2014-09-19"
"Anonymous (Sudan)","Sudan","Hacktivist","","2023-04-26"
"Anonymous (Syria)","Syrian Arab Republic","Hacktivist","","2014-02-11"
"Anonymous (Ukraine)","Ukraine","Hacktivist","","2014-02-13"
"Anonymous (USA)","United States of America","Hacktivist","","2020-06-14"
"Anonymous Cuba","Cuba","Hacktivist","","2023-01-02"
"Anonymous Legion","United States of America","Hacktivist","","2016-06-22"
"Anonymous Russia","Russian Federation","Hacktivist","","2023-01-31"
"Anonymous Sudan","Sudan","Hacktivist","","2023-10-27"
"Anonymous Sudan (affiliated to Killnet)","Russian Federation","Hacktivist","","2023-02-26"
"Anonymous-DepaixPorteur","Undetermined","Hacktivist","","2022-05-11"
"Anonymous; AnonGhost","Israel","Hacktivist","","2015-04-07"
"Anonymous; Ghost Squad","Jordan","Hacktivist","","2016-05-13"
"AnonymousX777Z","Undetermined","Hacktivist","","2022-09-11"
"Anthony Clark","United States of America","Criminal","","2016-11-14"
"Anti Mortadin!@","Pakistan","Hacktivist","","2014-05-16"
"Anti WMD Team","Iran (Islamic Republic of)","Hacktivist","","2014-02-10"
"Anti-Armenia Team","Azerbaijan","Hacktivist","","2016-09-02"
"ap3x h4x0r","Undetermined","Undetermined","","2015-12-04"
"Apophis Squad","Undetermined","Criminal","","2018-06-27"
"AppState Leaks","Undetermined","Undetermined","","2016-12-03"
"APT23","China","Nation-State","","2020-05-15"
"APT27 (Iron Panda)","China","Nation-State","","2022-07-18"
"APT30","China","Nation-State","","2022-07-18"
"APT32","Viet Nam","Nation-State","","2023-06-30"
"APT36","Pakistan","Nation-State","","2022-11-03"
"APT39","Iran (Islamic Republic of)","Nation-State","","2019-03-04"
"APT41","China","Criminal","","2022-12-05"
"Arab Warriors Team","India","Hacktivist","","2014-10-20"
"AristoK3","Undetermined","Criminal","","2021-09-16"
"Armada Collective","Russian Federation","Criminal","","2015-12-14"
"Arvin Club","Iran (Islamic Republic of)","Criminal","","2021-11-09"
"Ashik Iqbal Chy","Bangladesh","Hacktivist","","2014-01-27"
"Ashiyane Digital Security Team","United States of America","Hacktivist","","2014-09-15"
"Aslan Neferler Tim","Austria","Hacktivist","","2017-09-28"
"ASOR Hack Team","Pakistan","Hacktivist","","2014-09-04"
"Astro Team","Undetermined","Criminal","","2021-04-21"
"Attackers allegedly affiliated with the Wagner Group","Russian Federation","Hacktivist","","2023-06-28"
"Attackers from China","China","Undetermined","","2019-05-17"
"Attackers from three countries including Saudi Arabia","Undetermined","Undetermined","","2016-05-24"
"austinsimon864","Undetermined","Criminal","","2015-07-13"
"Avaddon","Russian Federation","Criminal","","2021-05-27"
"Avian; Nepal Cyber Army","Nepal","Hacktivist","","2015-08-17"
"Avos Locker","Undetermined","Criminal","","2023-04-30"
"AvosLocker","Undetermined","Criminal","","2022-03-17"
"Ayy?ld?z Tim","United Kingdom of Great Britain and Northern Ireland","Hacktivist","","2019-06-10"
"Azmeth","Mexico","Undetermined","","2016-05-22"
"B00daMooda and @DepaixPorteur.","Undetermined","Hacktivist","","2022-05-14"
"B0yzTeam","Undetermined","Criminal","","2016-09-11"
"Babuk","Undetermined","Criminal","","2021-07-27"
"baidu3250617231","Undetermined","Undetermined","","2018-09-29"
"Bassterlord","Undetermined","Criminal","","2020-03-26"
"Bear IT Army","Russian Federation","Hacktivist","","2023-01-11"
"Beenu Arora","Undetermined","Criminal","","2020-10-13"
"Belarus Cyber-Partisans","Undetermined","Hacktivist","","2021-11-08"
"Belarusian Cyber Partisans","Belarus","Hacktivist","","2022-11-19"
"Berkshire Hathaway Homestate; Cypress Insurance; Zenith Insurance","Undetermined","Criminal","","2016-04-19"
"Berkut","Undetermined","Criminal","","2017-02-22"
"BianLain","Undetermined","Criminal","","2023-05-11"
"BianLian","China","Criminal","","2023-09-11"
"BigBrother's Gaze","Undetermined","Undetermined","","2019-12-25"
"Bitcoin Baron","United States of America","Hacktivist","","2015-03-15"
"Bitter","India","Nation-State","","2022-07-05"
"Bjorka","Undetermined","Criminal","","2022-09-07"
"Bl00dy","Undetermined","Criminal","","2023-05-04"
"Bl4CKJ0K3R","Undetermined","Undetermined","","2015-02-14"
"Bl@Ck Dr@GoN","Pakistan","Hacktivist","","2014-10-19"
"Bl@Ck Dr@GoN; Haxor T0du; Spider64","Pakistan","Hacktivist","","2014-04-25"
"Bl@ckt0r","Undetermined","Criminal","","2021-11-01"
"Black Basta","Undetermined","Criminal","","2023-10-28"
"Black Byte","Undetermined","Criminal","","2023-06-13"
"Black Reward","Undetermined","Hacktivist","","2022-11-25"
"Black-Spy","Undetermined","Undetermined","","2016-01-23"
"BlackBasta","Russian Federation","Criminal","","2023-06-27"
"BlackByte","Russian Federation","Criminal","","2023-05-17"
"BlackMagic","Iran (Islamic Republic of)","Hacktivist","","2022-12-07"
"BlackMatter","Russian Federation","Criminal","","2021-09-20"
"BlackShadow","Iran (Islamic Republic of)","Criminal","","2021-10-29"
"Blacksmith Hacker's Team","Pakistan","Hacktivist","","2015-07-15"
"BlackSuit","Undetermined","Criminal","","2023-07-05"
"Blink Hacker Group","Thailand","Hacktivist","","2016-02-03"
"Bloodsec International","Philippines","Hacktivist","","2015-01-31"
"Blue Mockingbird","Undetermined","Criminal","","2022-06-15"
"bluebunny14","Undetermined","Criminal","","2015-03-24"
"booloop","Undetermined","Undetermined","","2018-08-01"
"boredbloke","Undetermined","Hobbyist","","2019-02-13"
"Boris Bullet-Dodger","Undetermined","Undetermined","","2019-05-23"
"Bozkurtlar","Undetermined","Undetermined","","2016-05-14"
"Bravewanderer","Undetermined","Undetermined","","2016-02-17"
"Brenda","Undetermined","Undetermined","","2015-08-06"
"BrettJS","Undetermined","Criminal","","2023-07-04"
"Brian Noe","Undetermined","Undetermined","","2020-12-18"
